Calificaci√≥n util,Calificaci√≥n divertido,Recomendacion,Horas jugadas,Fecha de Rese√±a,Rese√±a
A 1 persona le pareció útil esta reseña,0,Recomendado,317.4 h registradas,Publicada el 19 de julio de 2024,"Jugue mucho Dark and Darker y aunque me parecio un buen juego con problemas de balance, no lo recomende por que el precio para poder disfrutar del todo el juego me parecia exesivo para el contenido que ofrece, y la version free to play no me parecio algo disfrutable.
Dungeonborne esta ""inspirado"" en Dark and Darker, incluso usa algunos assets que son exactamente los mismos, pero eso es por que DaD no creo muchos assets si no que los compro, de la misma forma que hizo DB asi que ambos juegos usan assets similares.
DaD me parecio un buen juego, aunque con sus problemas. Dungeonborne me parece que es mas de lo mismo, pero incluso manejan algunas mecanicas mucho mejor y se centra mas en divertirse que en ser tryhard. Lo disfrute mucho en la beta, y ahora en el earlie access.
En resumen: Dungeonborne es un poco mejor que Dark and Darker, especialmente en el diseño de los mapas, graficos y jugabilidad. Y es totalmente gratis. Si hubiera costado 30 dolares, tampoco lo hubiera recomendado, pero es gratis, y aparentemente sin resitricciones ni trucos oscuros ni pay to win. Asi que lo recomiendo 100%. Denle gas."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,31.2 h registradas,Publicada el 2 de diciembre de 2024,"Dungeonborne es un título que mezcla elementos de juegos de mazmorras clásicos con mecánicas de PvP y PvE, en un formato que apuesta por el modelo free-to-play. Presentado como un juego en primera persona, ofrece a los jugadores la oportunidad de explorar mazmorras desafiantes mientras enfrentan criaturas y a otros jugadores en combates tácticos. Sin embargo, su lanzamiento en acceso anticipado ha suscitado críticas mixtas, debido a problemas de estabilidad y manejo por parte de los desarrolladores.
Aspectos Positivos
Diseño Visual y Sonoro: Las mazmorras destacan por sus diseños interesantes, con dimensiones verticales y enemigos variados. Los efectos visuales y el diseño de audio añaden inmersión al juego​.
Concepto Prometedor: Combina exploración y combate competitivo en un entorno de mazmorras, un concepto que atrajo a una comunidad activa durante su debut​.
Críticas Recibidas
Problemas de Matchmaking: Los tiempos de espera en cola para emparejamientos pueden ser excesivamente largos, afectando la experiencia de juego​.
Falta de Actualizaciones: Los jugadores han señalado la falta de contenido nuevo y actualizaciones, lo que ha llevado a que el juego sea percibido como abandonado por sus desarrolladores​.
Problemas Técnicos: Los servidores y el rendimiento general del juego han recibido quejas constantes desde su lanzamiento.
Estado Actual
El juego ha pasado de tener una comunidad activa a un descenso drástico en jugadores, lo que lo coloca en una situación complicada. Aunque el concepto de Dungeonborne tiene potencial, la falta de soporte continuo y problemas técnicos han impactado negativamente su reputación. Es una opción a considerar si estás interesado en un título experimental, pero es recomendable investigar más antes de invertir tiempo o dinero."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,33.5 h registradas,Publicada el 21 de septiembre de 2024,"MALDITOS MISERABLES CERRARON LOS SERVER EN SA, LO JUGUÉ DÍA UNO TENÍAN POTENCIAL, AÑORABA QUE MEJORARAN Y AHORA NOS ECHAN DEL JUEGO"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,33.9 h registradas,Publicada el 9 de septiembre de 2024,Pongan un server en mi casa que sino anda re lagueado
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,144.4 h registradas,Publicada el 6 de septiembre de 2024,goty
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,29.2 h registradas,Publicada el 4 de agosto de 2024,esta rico
A 1 persona le pareció útil esta reseña,0,No recomendado,5.0 h registradas,Publicada el 2 de septiembre de 2024,que pinga de juego y aparte no esta en español
A 1 persona le pareció útil esta reseña,1 persona encontró divertida esta reseña,No recomendado,14.4 h registradas,Publicada el 21 de julio de 2024,ping de 80 a 100 con server en brasil supuestamente
A 3 personas les pareció útil esta reseña,2 personas encontraron divertida esta reseña,No recomendado,3.0 h registradas,Publicada el 24 de julio de 2024,"malo, no está en español, es tosco, repetitivo... mecánicas básicas todo oscuro... pésimo juego"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,16.9 h registradas,Publicada el 19 de julio de 2024,"⡴⠑⡄⠀⠀⠀⠀⠀⠀⠀ ⣀⣀⣤⣤⣤⣀⡀
⠸⡇⠀⠿⡀⠀⠀⠀⣀⡴⢿⣿⣿⣿⣿⣿⣿⣿⣷⣦⡀
⠀⠀⠀⠀⠑⢄⣠⠾⠁⣀⣄⡈⠙⣿⣿⣿⣿⣿⣿⣿⣿⣆ ta bueno
⠀⠀⠀⠀⢀⡀⠁⠀⠀⠈⠙⠛⠂⠈⣿⣿⣿⣿⣿⠿⡿⢿⣆
⠀⠀⠀⢀⡾⣁⣀⠀⠴⠂⠙⣗⡀⠀⢻⣿⣿⠭⢤⣴⣦⣤⣹⠀⠀⠀⢀⢴⣶⣆
⠀⠀⢀⣾⣿⣿⣿⣷⣮⣽⣾⣿⣥⣴⣿⣿⡿⢂⠔⢚⡿⢿⣿⣦⣴⣾⠸⣼⡿
⠀⢀⡞⠁⠙⠻⠿⠟⠉⠀⠛⢹⣿⣿⣿⣿⣿⣌⢤⣼⣿⣾⣿⡟⠉
⠀⣾⣷⣶⠇⠀⠀⣤⣄⣀⡀⠈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇compralo
⠀⠉⠈⠉⠀⠀⢦⡈⢻⣿⣿⣿⣶⣶⣶⣶⣤⣽⡹⣿⣿⣿⣿⡇
⠀⠀⠀⠀⠀⠀⠀⠉⠲⣽⡻⢿⣿⣿⣿⣿⣿⣿⣷⣜⣿⣿⣿⡇
⠀⠀ ⠀⠀⠀⠀⠀⢸⣿⣿⣷⣶⣮⣭⣽⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⣀⣀⣈⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇
⠀⠀⠀⠀⠀⠀⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,24.1 h registradas,Publicada el 28 de agosto de 2024,"el juego empezo saliendo con server en latam, despues al pedido de la gente lo agregaron y ahora como el juego es malo y la gente dejo de jugarlo decidieron ""unificar"" los server de america y llamarlo ""americas"". lo que enrealidad hicieron es eliminar todos los server de america excepto el de EEUU (obviamente) asi que de nuevo los de latam jugamos a 230 de ping. y ellos pagan menos servers...... jueguen dark and darker gente"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,39.8 h registradas,Publicada el 4 de agosto de 2024,"Como dark and darker pero mejor. Tiene mejor combate, tiene un sistema de crafteo de equipo que vos podes personalizar hasta cierto punto y ENCIMA es más gratis que dark and darker. Acá te podes crear todas las clases sin tener que poner ni un peso. Es mejor, jueguen este."
A 1 persona le pareció útil esta reseña,0,No recomendado,2.0 h registradas,Publicada el 3 de agosto de 2024,"estaba bueno, hasta que descubrimos que es un battle royal, seria mejor y entretenido si tuviera la opcion de JcE, sin tener que toparte con la desagradable gente que solo te busca para matarte"
A 1 persona le pareció útil esta reseña,0,No recomendado,3.6 h registradas,Publicada el 25 de julio de 2024,"Dark and Darker copy
Exact same thing"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,0.6 h registradas,Publicada el 23 de marzo,bue
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,16.2 h registradas,Publicada el 1 de marzo,no
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,3.7 h registradas,Publicada el 22 de febrero,no se puede jugar no encuentra partida
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,33.6 h registradas,Publicada el 14 de enero,Juego muerto
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,37.4 h registradas,Publicada el 29 de diciembre de 2024,abandonado y cerraron servidores para latinoamerica
A 3 personas les pareció útil esta reseña,1 persona encontró divertida esta reseña,No recomendado,3.1 h registradas,Publicada el 30 de julio de 2024,"La verdad no lo recomiendo, es un juego de celular adaptado a PC pero sigue teniendo las misma mecánicas como cualquier juego de celular donde si queres ganar tenes que pagar"
Nadie ha calificado esta reseña como útil todavía,1 persona encontró divertida esta reseña,No recomendado,1.5 h registradas,Publicada el 22 de julio de 2024,"Completamente desbalanceado. Estas abriendo un cofre, se te acerca un guerrero y solo tiene que apretar la Q para matarte tranquilamente girando la espada ""la estupidez mas grande del mundo porque ni siquiera el hombre lobo te mata de 1 hit"".
La movilidad es asquerosa, el combate tienen que hacer algo porque todo lo que vuela es casi imposible de acertar hits y mas con esas hit boxes que dan calambre, los duendes prácticamente sino te agachas es ♥♥♥♥♥♥ darles el hit, y así podría estar hablando del calambre que tiene el juego.
Y vuelvo a repetir, un guerrero con solo la Q ya te ♥♥♥♥ la vida porque no podes alejarte ya que se mueve con la misma velocidad, porque ni siquiera pensaron en eso, y encima pega demasiado, y sumale que se te pone al lado con la E."
A 1 persona le pareció útil esta reseña,0,No recomendado,2.0 h registradas,Publicada el 27 de julio de 2024,"Malisimo , si eres nuevo en el juego como uno te nivela con   jugadores que no tienen vida  , con equipamiento legendario , repito  , al menos que tengas amigos para jugarlo , no te lo recomiendo en solitario ."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,2.6 h registradas,Publicada el 22 de julio de 2024,"Cuando ves el icono de cooperativo y PvP en las características del juego en steam tal vez pienses que son dos modos diferentes y que es un juego para cooperar y pasar una mazmorra o duelos entre jugadores, estas equivocado. El juego se trata de matar jugadores por la espalda mientras están intentando pasar la mazmorra y robarle sus cosas. Que agradables sujetos :)"
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,10.1 h registradas,Publicada el 3 de diciembre de 2024,Bien
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,0.3 h registradas,Publicada el 28 de noviembre de 2024,"Buen juego, variedad de personajes, con una pequeña guía quedas listo para meterle 889 horas la verdad."
Nadie ha calificado esta reseña como útil todavía,1 persona encontró divertida esta reseña,No recomendado,27.3 h registradas,Publicada el 28 de noviembre de 2024,buen juego
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,2.6 h registradas,Publicada el 28 de noviembre de 2024,ta piola
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,99.2 h registradas,Publicada el 27 de noviembre de 2024,Se murio :(
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,28.9 h registradas,Publicada el 27 de noviembre de 2024,si
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,19.0 h registradas,Publicada el 27 de noviembre de 2024,juego malo
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,10.9 h registradas,Publicada el 27 de noviembre de 2024,no se jugarlo
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,16.9 h registradas,Publicada el 17 de octubre de 2024,muy entretenido y un pvp disfrutable
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,46.3 h registradas,Publicada el 9 de octubre de 2024,juego muerto me aburrí de esperar los servidores de SA.
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,48.0 h registradas,Publicada el 3 de octubre de 2024,tremendo asco lleno de ratas dark and darker 100 veces mejor
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,0.7 h registradas,Publicada el 22 de septiembre de 2024,No SA server
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,150.0 h registradas,Publicada el 3 de octubre de 2024,"En comparación con Dark and Darker mejora la jugabilidad con combates más rápidos, mayor iluminación, mapas grandes, mejoras por sets, mejoras por alcanzar un valor de stats según tu clase, mejora de stats con cada nivel, items compartidos entre todos tus PJs, sin limite de PJs, facil armado del PJ con el heirloom, facilidad de venta de objetos y mejores gráficos.
Falla en algunos collider, como el D&D, como ciertas maderas de escaleras, pequeños objetos como una vara, intentar subir a lugares bajos que no es posible, o el collider del árbol del druida.
Tiene sus desbalances, errores o molestias como el Swordmaster dejándote en menos del 50% de vida con una habilidad, el empujar del Pyro que te afecta con una pared de por medio, el lanzamientos de frascos de un solo lado, los slots de frascos (sobre todo para pyro y clérigo), el corto tiempo de preparación entre rondas en arena, la larga duración y cantidad de slows, el bloqueo del 100% de daño fisico haciendo que algunos PJs te tiren debuff y se queden en una esquina bloqueando, la pantera que queda en el aire saltando, el árbol del druida que no pega estando un poco elevado, los árboles que se pegan entre ellos ignorando a los enemigos, unificar los servidores americanos haciendo imposible entrar a la aventura hasta que estabilizaron la latencia, etc.
Aún con todo lo mencionado me parece lo mejor dentro del género pero la realidad es que se está desangrando actualmente de jugadores, quizá por llegar tarde, espero que puedan levantar ya que no es para nada un mal juego."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,43.2 h registradas,Publicada el 22 de septiembre de 2024,Mataron los servidores de Latinoamerica
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,13.4 h registradas,Publicada el 14 de septiembre de 2024,X3
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,285.7 h registradas,Publicada el 1 de octubre de 2024,"Ni siquiera en la CDMX hay un buen ping para latinoamerica, injugable si no utilizas las clases a melee, pyromantico es imposible de juagar si te enfrentas a cualquier jugador de otra clase, el meta del juego solo es deathknights y figthers cazando jugadores, la mayoria de las veces haciendo equipo en modos de un jugador, matando a cualquiera que se atreva a mirarlos y en lobbies con requisito de llevar equipamiento de alto nivel solo vas a ver a rouges que te matan por la espalda sin que los puedas oír o detectar por algún medio
Cryomancer y pyromantico siendo clases a distancia se mueven tan lento tanto fuera de combate como al castear cualquier ataque que son siempre forzados a estar si acaso a corta distancia tanto de npc's como de otros jugadores
Todas la clases a melee obtienen un escudo cuando activan sus habilidades utilizando unos cuantos accesorios para subir una sola estadística
El escudo que puede tener el cryomancer como habilidad solo soporta un ataque normal de una espada larga y tiene un cooldown largo
El sistema de rangos que se desbloquea cuando un personaje llega a nivel 20 solo incentiva una comunidad toxica que va matando a cualquier jugador nuevo o inexperto
Mapas pequeños hechos nada más para el melee y que los nuevos jugadores terminen acorralados por uno o más juagores con equipo de más alto rango y más experiencia y no otra cosa"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,1.0 h registradas,Publicada el 8 de septiembre de 2024,Una poronga
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,50.3 h registradas,Publicada el 8 de septiembre de 2024,que pasa como hacen que el juego sea imposible de jugar con una actualización
A 1 persona le pareció útil esta reseña,0,Recomendado,0.6 h registradas,Publicada el 26 de septiembre de 2024,me gusta mucho este juego lo juego con mi otra cuenta y tengo varias horas estoy seguro que este juego no va a morir y va a mejorar mucho :D
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,50.6 h registradas,Publicada el 13 de septiembre de 2024,"El juego es bastante bueno pero los bobtos decidieron eliminar el servidor de LATAM y si te gusta jugar con 200+ de ping, entonces descárgalo."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,152.3 h registradas,Publicada el 8 de septiembre de 2024,200 ms en SA? qué manera de cagarla...
A 1 persona le pareció útil esta reseña,0,No recomendado,233.9 h registradas,Publicada el 7 de septiembre de 2024,"Sin server en SA es jugar con 200ms, el peor cambio hecho sin duda."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,54.9 h registradas,Publicada el 7 de septiembre de 2024,"Injugable, ping desastroso contra personas con 20 ms. Desinstalado hasta que se retracten...
#BRINGBACKSASERVERS"
A 1 persona le pareció útil esta reseña,0,No recomendado,8.0 h registradas,Publicada el 6 de septiembre de 2024,"I started playing recently, and then, just close South America server, doesnt recommend for us."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,106.8 h registradas,Publicada el 6 de septiembre de 2024,sacaron los servers latinos hay mas de 200 de ping quedo injugable
A 1 persona le pareció útil esta reseña,0,No recomendado,5.8 h registradas,Publicada el 7 de septiembre de 2024,"como van a sacar los servidores en SA!!!!!!!!!!!!!!! un juego pvp con 200 de ping,se les flitra el cerebro por los oidos a los de este juego"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,51.5 h registradas,Publicada el 7 de septiembre de 2024,"No entiendo como pasas de tener un juego tan lindo a esto en 1 mes, pero acá estamos.
Independientemente de que no me guste como los developers manejas las sugerencias, o el balanceo, o el contenido directamente, que combinaran los servidores y pase de 50 de ping a 220 opaca cualquier expectativa o intensión que tuviese de seguir disfrutando este juego."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,112.4 h registradas,Publicada el 7 de septiembre de 2024,"quitaron los servidores de sa, de tener 60 de ping a tener 180  injugable quedo, nunca les importo la comunidad latina, estaba en todos los idiomas menos en español, el juego esta bueno pero si eres de sudamerica ni lo descargues esta injugable con ese ping, una desepcion total"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,55.8 h registradas,Publicada el 6 de septiembre de 2024,"""Hey man, A lot of people are leaving our game :( What are we suppose to do? Oh I know, Lets delete A WHOLE SERVER (SouthAmerica) just because we feel like it""
Are you guys really this stupid? How could you delete a whole server and think that it is a good idea?"
A 1 persona le pareció útil esta reseña,0,No recomendado,475.2 h registradas,Publicada el 6 de septiembre de 2024,"The game was Ultra fun , but since Devs  make that wonderful choice to merge servers  Ping is just a big no for me  , from 60 ms to 220 , just unplayable"
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,47.3 h registradas,Publicada el 6 de septiembre de 2024,Me borraron el servidor hijos de re mil ♥♥♥♥
A 2 personas les pareció útil esta reseña,0,No recomendado,78.5 h registradas,Publicada el 6 de septiembre de 2024,"Devs be like:
- To ensure a better matchmaking experience, US West, US East, and South America has been merged to ""Americas"""
A 3 personas les pareció útil esta reseña,0,No recomendado,441.8 h registradas,Publicada el 6 de septiembre de 2024,"Rip South America Servers.
Forros."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,138.8 h registradas,Publicada el 31 de agosto de 2024,"No balanceo, hacks y un ""matchmaking"" deficiente"
A 1 persona le pareció útil esta reseña,0,Recomendado,6.8 h registradas,Publicada el 28 de agosto de 2024,Juegazo
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,0.7 h registradas,Publicada el 25 de agosto de 2024,Crash
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,10.7 h registradas,Publicada el 24 de agosto de 2024,.
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,225.6 h registradas,Publicada el 6 de septiembre de 2024,"Una lastima lo que hicieron con los servidores, la supuesta ""fusion"" nos dejo a todo LATAM jugando con mas lag que la hna de ya saben quien..."
A 2 personas les pareció útil esta reseña,0,No recomendado,113.5 h registradas,Publicada el 6 de septiembre de 2024,"Cerraron el server de latinoamerica y el de estados unidos este, ahora imposible jugar sin ping... ya no toco mas este juego a los devs no le importan los latinos."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,45.6 h registradas,Publicada el 22 de agosto de 2024,"PEOR Juego de la historia ni pierdas el tiempo descargándolo esta atascado de bugs y jugadores gandayas.
Bueno mi experiencia en el juego es buena en general, si te gusta el PVP medieval es bueno salvo que los sistemas de emparejamiento están horribles (el equipo realmente hace la diferencia entre jugadores) tienen muy poco equilibrio entre las clases es decir, El druida por ejemplo esta super OP en comparación con otros personajes. No tienes un modo de practicar, y apenas consigues algo verde para poder ir armando personaje, y no falta el team ojete que solo se mete a casar te matan y perdiste todo, la replica del modo de fortnite no esta malo pero te obliga a tener que enfrentar a otros personajes. No esta malo el juego es bueno pero si lo que te gusta es explorar dungeon y enfrentar enemigos para sacar equipo este no es tu juego. Termina siendo un PVP SI el juego tuviera un modo Solo seria genial por que el trabajo en enemigos, escenarios y entorno es realmente bueno. Lastima que no cuente con ello."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,13.6 h registradas,Publicada el 22 de agosto de 2024,BUENA JUEGO
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,19.8 h registradas,Publicada el 18 de agosto de 2024,"ta bueno, dale la oportunidad, es viciante ojito."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,4.5 h registradas,Publicada el 16 de agosto de 2024,s
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,14.1 h registradas,Publicada el 15 de agosto de 2024,TA BIEN 👍
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,46.3 h registradas,Publicada el 12 de agosto de 2024,"Que juego de ♥♥♥♥♥♥ mal balanceado, igual entretiene."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,62.4 h registradas,Publicada el 8 de agosto de 2024,mas weno que el pico
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,47.7 h registradas,Publicada el 8 de agosto de 2024,LA PICHULEIRE
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,8.6 h registradas,Publicada el 14 de agosto de 2024,"Bueno, despues de 8 horas jugadas... puedo decir que... Juegues Rogue y ya esta. Ese es el juego. Si jugas cualquier otra cosa, un Rogue te matara."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,172.2 h registradas,Publicada el 13 de agosto de 2024,"Uno de los mejores extraction game que probe en estos ultimos años, solo superado tal vez por SFT dependiendo de gustos.
Este titulo ofrece un gameplay mas rapido y ""smooth"" que su competidor Dark and Darker, habiendo jugado solo la demo de este, esta entrega me gusto muchisimo mas que el anteriormente nombrado y ofrece un gameplay mas variado en donde se hace mas enfoque en el PvP (dependiendo claro del mapa elegido) donde las distintas clases toman un rol extremadamente importante sumado la mecanica de los ""world bosses"" distribuidos por todo el mapa.
El juego se encuentra en su primera version de desarrollo Y SE NOTA. Me refiero en este apartado a la caracteristica de inmersión, gameplay y economia dentro del juego, ya que a nivel visual y de rendimiento, el juego esta bastante por encima de los que yo esperaba. En cuanto a la inmersion y gameplay que mencione anteriormente se pierde un poco en estas recientes versiones del juego, ya que se nota demasiado lo rotas que estan ciertas clases por sobre otras. Existen 8 clases en su totalidad con sus distintas habilidades y formas de jugar las mismas pero por como estan diseñadas parece mentira que solo se jueguen 3 como mucho porque, con diferencia, aplastan a las otras 5 y en juegos de este estilo, donde en cada run todo tu inventario esta en juego nadie va a arriesgarse a entrar con items que valen mucho dinero con una clase que es useless o esta fuera del meta. Lo cual le quita todo el sentido de jugar una clase que se guste o te sientas comodo con su estilo de gameplay, ya que vas a cruzarte con un player con una clase que esta totalmente desbalanceada y te va a aplastar sin que puedas si quiera defenderte. Esto son mencionar el famoso Life on Hit, que los jugadores activos conoceran e hizo injugable el titulo durante largos dias debido al desbalanceo de dicha mecanica (PD: ya fue parcheado, no se asusten).
En cuanto a la economia parece haber una muy buena estabilidad y estar muy bien diseñado a nivel general, pero hace muy poco se descubrio un bug en la tienda donde se podian vender y recuperar los items vendidos DUPLICANDOLOS en el proceso, lo que genero que lobbys enteros de personas tuvieran los items mas broken del juego sin riesgo a perderlos ya que realmente eran un duplicado de los originales.
Como digo, son pocos errores, pero importantes. Esto es normal en un juego en primer fase y constante desarrollo, encontrarse con estos bugs y errores de la mano del propio juego ya que no se trata de un hackers o exploits con programas de terceros. El juego tiene mucho apoyo de la comunidad, peleas con jefes hermosas, team fights dinamicas y tiene muchisimo futuro, apuesto por el proyecto y si administra bien puede ser un referente en cuando al genero de extraccion medieval.
Totalmente recomendado y aun mas, si lo jugas con amigos."
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,12.4 h registradas,Publicada el 8 de agosto de 2024,Es un Dark and Darker mas arcade y FREE. Tiene una curva de aprendizaje mas rápida y eso lo hace mas rentable para players que no tenemos las 24 horas del día para jugar.
Nadie ha calificado esta reseña como útil todavía,0,Recomendado,51.5 h registradas,Publicada el 8 de agosto de 2024,"Buen juego, es entretenido y te hace querer farmear sin aburrirte, pero si que presenta un gran problema con los jugadores nuevos y es que no dan una opción solo PvE, en mi experiencia metiendo amigos que no tienen experiencia en este tipo de juegos, pero que les ha gustado igual, manifiestan que lo que les aburre es que de entrada al juego sea un PvP tan agresivo.
Por ende si estimo que es necesario una opción sólo PvE, donde puedan acostumbrarse a las mecánicas básicas, farmear equipo básico del verde, para así acomular experiencia y se vayan de lleno al PvP luego de cierto tiempo, no mandar a la gente nueva a qué se frustre con jugadores más experimentados."
Nadie ha calificado esta reseña como útil todavía,0,No recomendado,121.5 h registradas,Publicada el 8 de agosto de 2024,Equipment dependent.
